word,meaning,synonym,antonym
Allow,"{'Verb': ['make it possible through a specific action or lack of action for something to happen', 'consent to, give permission', 'let have', 'give or assign a resource to a particular person or cause', 'make a possibility or provide opportunity for; permit to be attainable or cause to remain', 'allow or plan for a certain possibility; concede the truth or validity of something', 'afford possibility', 'allow the other (baseball', 'grant as a discount or in exchange', 'allow the presence of or allow (an activity']}","['permit', 'pass', 'let']","['prevent', 'recede', 'fail', 'appear']"
Allude,{'Verb': ['make a more or less disguised reference to']},"['advert', 'suggest', 'bear on', 'hint', 'pertain', 'touch', 'denote', 'refer', 'come to', 'have-to doe with', 'concern', 'relate', 'touch on']","['contraindicate', 'stifle', 'discontinue', 'diverge', 'disengage']"
Altercation,{'Noun': ['noisy quarrel']},"['batrachomyomachia', 'words', 'affray', 'quarrel', 'row', 'wrangle', 'run-in', 'dustup', 'fracas']",
Ambiguous,"{'Adjective': ['open to two or more interpretations; or of uncertain nature or significance; or (often', 'or ambiguous', 'having more than one possible meaning', 'having no intrinsic or objective meaning; not organized in conventional patterns']}","['forked', 'indeterminate', 'evasive', 'equivocal', 'double']","['unequivocal', 'univalent', 'unprophetic', 'comprehensible', 'single-barreled']"
Ambitious,"{'Adjective': ['having a strong desire for success or achievement', 'requiring full use of your abilities or resources']}","['pushy', 'enterprising', 'aspiring', 'compulsive', 'ambition', 'determined', 'aspirant', 'overambitious', 'would-be', 'wishful', 'driven', 'pushful', 'ambitiousness', 'manque']","['unambitious', 'unenterprising', 'unadventurous', 'lethargic', 'unneurotic']"
Ambivalence,{'Noun': ['mixed feelings or emotions']},"['conflict', 'feeling', 'ambivalency']","['agreement', 'keep', 'compatibility', 'humility']"
Analogous,"{'Adjective': ['similar or equivalent in some respects though otherwise dissimilar', 'corresponding in function but not in evolutionary origin']}","['correspondent', 'similar']","['dissimilar', 'dissimilarity', 'different']"
Annihilate,{'Verb': ['kill in large numbers']},"['decimate', 'extinguish', 'eliminate', 'wipe out', 'kill', 'eradicate', 'carry off']","['include', 'ignite', 'begin', 'keep down', 'necessitate']"
Anomaly,"{'Noun': ['deviation from the normal or common order or form or rule', 'a person who is unusual', '(astronomy', 'as observed from the sun']}","['position', 'place']","['uncover', 'fat person', 'introvert']"
Anticipate,"{'Verb': ['regard something as probable or likely', 'act in advance of; deal with ahead of time', 'realize beforehand', 'make a prediction about; tell in advance', 'be excited or anxious about', 'be a forerunner of or occur earlier than']}","['guess', 'take for granted', 'evaluate', 'theorize', 'theorise', 'opine', 'hypothecate', 'wait', 'look', 'believe', 'judge', 'conjecture', 'hypothesize', 'suppose', 'presume', 'trust', 'think', 'speculate', 'imagine', 'await', 'reckon', 'pass judgment', 'expect', 'hypothesise', 'assume']","['criticize', 'activity', 'idle', 'distrust', 'mistrust']"
Antipathy,"{'Noun': ['a feeling of intense dislike', 'the object of a feeling of intense aversion; something to be avoided']}","['distaste', 'dislike', 'aversion']","['liking', 'friendliness', 'approval', 'love']"
Apex,"{'Noun': ['the highest point (of something', 'the point on the celestial sphere toward which the sun and solar system appear to be moving relative to the fixed stars']}","['crown', 'acme', 'vertex', 'roof peak', 'peak', 'extremum', 'extreme point', 'extreme']","['point of periapsis', 'apoapsis', 'periapsis', 'inglorious', 'divest']"
Apprehension,"{'Noun': ['fearful expectation or anticipation', 'the cognitive condition of someone who understands', 'painful expectation', 'the act of apprehending (especially apprehending a criminal']}","['gloom', 'fearfulness', 'fright', 'foreboding', 'premonition', 'fear', 'gloominess', 'pall', 'presentiment', 'boding', 'dread', 'chill', 'apprehensiveness', 'suspense', 'somberness', 'sombreness', 'trepidation']","['fearlessness', 'exclude', 'start', 'let', 'uncover']"
Articulate,"{'Verb': ['provide with a joint', 'put into words or an expression', 'speak, pronounce, or utter in a certain way', 'unite by forming a joint or joints', 'express or state clearly'], 'Adjective': ['expressing yourself easily or characterized by clear expressive language', 'consisting of segments held together by joints']}","['eloquent', 'facile', 'fluent', 'speech-endowed', 'communicatory', 'spoken', 'smooth-spoken', 'silver', 'well-spoken', 'silver-tongued', 'communicative']","['uncommunicative', 'inarticulate', 'written', 'foreground', 'play up']"
Artificial,"{'Adjective': ['contrived by art rather than nature', 'artificially formal', 'not arising from natural growth or characterized by vital processes']}","['counterfeit', 'staged', 'faux', 'celluloid', 'painted', 'ersatz', 'unlifelike', 'bionic', 'man-made', 'synthetic', 'cardboard', 'coloured', 'conventionalized', 'unreal', 'stylized', 'substitute', 'conventionalised', 'near', 'imitative', 'factitious', 'dyed', 'stylised', 'bleached', 'false', 'imitation', 'simulated', 'colored', 'arranged', 'dummy', 'fake', 'semisynthetic']","['natural', 'genuine', 'unfinished', 'analytic', 'deductive']"
Assertion,"{'Noun': ['a declaration that is made emphatically (as if no supporting evidence were necessary', 'the act of affirming or asserting or stating something']}","['contention', 'ipsedixitism', 'asseveration', 'charge', 'declaration', 'averment', 'disaffirmation', 'testimony', 'accusation', 'affirmation', 'claim', 'denial', 'ipse dixit', 'avowal', 'avouchment']","['cooperation', 'linger', 'absolve', 'calm', 'overcharge']"
Austere,"{'Adjective': ['severely simple', 'of a stern or strict bearing or demeanor; forbidding in aspect', 'practicing great self-denial']}","['stark', 'plain', 'stern', 'severe']","['fancy', 'complex', 'rhetorical', 'unobvious', 'impure']"
Authenticity,{'Noun': ['undisputed credibility']},"['real stuff', 'real McCoy', 'credibleness', 'credibility', 'legitimacy', 'believability', 'real thing', 'genuineness']","['incredibility', 'incredible', 'credible', 'implausibility', 'unlawfulness']"
Avenue,"{'Noun': ['a line of approach', 'a wide street or thoroughfare']}","['attack', 'plan of attack', 'approach']","['defend', 'praise', 'refrain', 'end']"
Avid,{'Adjective': ['marked by active interest and enthusiasm']},"['zealous', 'enthusiastic']","['unenthusiastic', 'unacquisitive', 'abstemious']"
Basic,"{'Noun': [""a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use"", '(usually in the plural'], 'Adjective': ['pertaining to or constituting a base or basis', 'reduced to the simplest and most significant form possible without loss of generality', 'serving as a base or starting point', 'of or denoting or of the nature of or containing a base']}","['rudimentary', 'primary', 'radical', 'fundamental', 'basal', 'elemental', 'underlying', 'grassroots', 'elementary', 'base']","['incidental', 'unoriginal', 'inessential', 'unimportant', 'derived']"
Bear,"{'Noun': ['massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws', 'an investor with a pessimistic market outlook; an investor who expects prices to fall and so sells now in order to buy later at a lower price'], 'Verb': ['cause to be born', 'put up with something or somebody unpleasant', 'move while holding up or supporting', 'bring forth', ""take on as one's own the expenses or debts of another person"", 'contain or hold; have within', 'bring in', ""have on one's person"", 'behave in a certain manner', 'have rightfully; of rights, titles, and offices', 'support or hold in a certain manner', 'be pregnant with']}","['have', 'carry', 'feature']","['lack', 'surrender', 'change', 'fauna']"
Benevolent,"{'Adjective': ['intending or showing kindness', 'showing or motivated by sympathy and understanding and generosity', 'generous in providing aid to others', 'generous in assistance to the poor']}","['charitable', 'openhearted', 'kind', 'sympathetic', 'good-hearted', 'large-hearted', 'kindly']","['unkind', 'malign', 'merciless', 'unkindness', 'unforgiving']"
Bias,"{'Noun': ['a partiality that prevents objective consideration of an issue or situation', 'a line or cut across a fabric that is not at right angles to a side of the fabric'], 'Verb': ['influence in an unfair way', 'cause to be biased'], 'Adjective': ['slanting diagonally across the grain of a fabric']}","['homophobia', 'preconception', 'Islamophobia', 'tendentiousness', 'racism', 'tabu', 'experimenter bias', 'irrational hostility', 'partisanship', 'partiality', 'taboo', 'prejudice']","['impartiality', 'permissible', 'profane', 'fairness', 'dislike']"
Bittersweet,"{'Noun': ['poisonous perennial Old World vine having violet flowers and oval coral-red berries; widespread weed in North America', 'twining shrub of North America having yellow capsules enclosing scarlet seeds'], 'Adjective': ['tinged with sadness', 'having a taste that is a mixture of bitterness and sweetness']}",['sad'],"['glad', 'unappetizing']"
Bolster,"{'Noun': ['a pillow that is often put across a bed underneath the regular pillows'], 'Verb': ['support and strengthen', 'prop up with a pillow or bolster', 'add padding to']}","['bolster up', 'reenforce', 'reinforce']","['ride', 'break', 'abstain', 'fire']"
Boost,"{'Noun': ['the act of giving hope or support to someone', 'an increase in cost', 'the act of giving a push'], 'Verb': ['increase', 'give a boost to; be beneficial to', 'contribute to the progress or growth of', 'increase or raise', 'push or shove upward, as if from below or behind']}","['aid', 'assistance', 'assist', 'morale building', 'help', 'morale booster', 'encouragement']","['discourage', 'biological', 'dishearten', 'despair', 'nonworker']"
Brawl,"{'Noun': ['an uproarious party', 'a noisy fight in a crowd'], 'Verb': ['to quarrel noisily, angrily or disruptively']}","['do', 'bash', 'party']","['fall short of', 'stay in place', 'unmake']"
Brevity,"{'Noun': ['the use of brief expressions', 'the attribute of being brief or fleeting']}","['duration', 'length', 'transience', 'briefness']","['long', 'short', 'longness', 'permanence', 'impermanence']"
Candid,"{'Adjective': ['characterized by directness in manner or speech; without subtlety or evasion', 'informal or natural; especially caught off guard or unprepared', 'openly straightforward and direct without reserve or secretiveness']}","['plainspoken', 'outspoken', 'forthright', 'direct', 'frank', 'point-blank', 'blunt', 'free-spoken', 'straight-from-the-shoulder']","['indirect', 'rhetorical', 'uncommunicative', 'undock', 'dishonest']"
Candor,"{'Noun': ['ability to make judgments free from discrimination or dishonesty', 'the quality of being honest and straightforward in attitude and speech']}","['candour', 'ingenuousness', 'directness', 'honestness', 'frankness', 'forthrightness', 'honesty', 'candidness']","['disingenuousness', 'dishonesty', 'artfulness', 'sophistication', 'indirectness']"
Capitalize,"{'Verb': ['draw advantages from', 'supply with capital, as of a business by using a combination of capital used by investors and debt capital provided by lenders', 'write in capital letters', 'compute the present value of a business or an income', 'consider expenditures as capital assets rather than expenses', ""convert (a company's reserve funds""]}","['capitalise', 'take advantage', 'profit', 'gain', 'benefit']","['majority', 'minority', 'ground', 'stiffen', 'decrease']"
Capture,"{'Noun': ['the act of forcibly dispossessing an owner of property', 'a process whereby a star or planet holds an object in its gravitational field', 'any process in which an atomic or nuclear system acquires an additional particle', 'the act of taking of a person by force', ""the removal of an opponent's piece from the chess board""], 'Verb': ['succeed in representing or expressing something intangible', 'attract; cause to be enamored', 'succeed in catching or seizing, especially after a chase', 'bring about the capture of an elementary particle or celestial body and causing it enter a new orbit', 'take possession of by force, as after an invasion', 'capture as if by hunting, snaring, or trapping']}","['recapture', 'represent', 'interpret']","['attack', 'unfold', 'incomprehension', 'fearlessness']"
Civic,"{'Adjective': ['of or relating or belonging to a city', 'of or relating to or befitting citizens as individuals']}",['civil'],"['uncivil', 'incivility']"
Clinical,"{'Adjective': ['relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients', 'scientifically detached; unemotional']}","['objective', 'nonsubjective']","['subjective', 'unreal', 'abstract']"
Clout,"{'Noun': ['a target used in archery', 'special advantage or influence', 'a short nail with a flat head; used to attach sheet metal to wood', '(boxing'], 'Verb': ['strike hard, especially with the fist']}","['mark', 'target']","['stay in place', 'come', 'conserve']"
Coarse,"{'Adjective': ['of textures that are rough to the touch or substances consisting of relatively large particles', 'lacking refinement or cultivation or taste', 'of low or inferior quality or value']}","['rough-cut', 'uncouth', 'unrefined', 'common', 'vulgar']","['refined', 'smoothness', 'roughness', 'poor', 'cowardly']"
Coincide,"{'Verb': ['go with, fall together', 'happen simultaneously', 'be the same']}","['cooccur', 'coexist', 'overlap', 'co-occur']","['disallow', 'decertify', 'disapprove', 'forbid', 'recede']"
Commission,"{'Noun': ['a special group delegated to consider some matter', 'a fee for services rendered based on a percentage of an amount received or collected or agreed to be paid (as distinguished from a salary', 'the act of granting authority to undertake certain functions', 'the state of being in good working order and ready for operation', 'a group of representatives or delegates', 'a formal statement of a command or injunction to do something', 'an official document issued by a government and conferring on the recipient the rank of an officer in the armed forces', 'the act of committing a crime', 'a special assignment that is given to a person or group'], 'Verb': ['put into commission; equip for service; of ships', 'place an order for', 'charge with a task']}","['board', 'ethics panel', 'fairness commission', 'panel', 'finance committee', 'PAC', 'vestry', 'political action committee', 'blue ribbon committee', 'zoning commission', 'commissioner', 'conservancy', 'planning commission', 'presidium', 'subcommittee', 'committee', 'blue ribbon commission', 'committee member', 'administrative body', 'standing committee', 'administrative unit', 'ECOSOC commission', 'steering committee', 'Economic and Social Council commission', 'ethics committee', 'jury', 'politburo', 'praesidium', 'select committee', 'election commission']","['enfranchisement', 'outgoing', 'leeward', 'windward', 'incoming']"
Comparable,"{'Adjective': ['able to be compared or worthy of comparison', 'conforming in every respect']}","['equal', 'comparable to', 'parallel', 'comparable with']","['oblique', 'unequal', 'incomparable', 'perpendicular', 'incommensurate']"
Competent,"{'Adjective': ['properly or sufficiently qualified or capable or efficient', 'adequate, but not outstanding or exceptional', 'legally qualified or sufficient']}","['qualified', 'capable', 'effective', 'workmanlike', 'able', 'skilled', 'efficient']","['inefficient', 'incompetent', 'incapable', 'unskilled', 'unqualified']"
Complacent,"{'Adjective': [""contented to a fault with oneself or one's actions""]}","['content', 'self-satisfied', 'self-complacent', 'contented']","['discontented', 'disapproval', 'approval', 'unbelief', 'belief']"
Complement,"{'Noun': ['a word or phrase used to complete a grammatical construction', 'a complete number or quantity', 'number needed to make up a whole force', 'something added to complete or embellish or make perfect', 'one of a series of enzymes in the blood serum that are part of the immune response', 'either of two parts that mutually complete each other'], 'Verb': ['make complete or perfect; supply what is wanting or form the complement to']}","['expression', 'construction', 'grammatical construction']","['misconstruction', 'dysphemism', 'euphemism', 'natural object']"
Concede,"{'Verb': ['admit (to a wrongdoing', 'be willing to concede', 'give over; surrender or relinquish to the physical control of another', 'acknowledge defeat']}","['admit', 'profess', 'confess', 'make a clean breast of', 'acknowledge', 'own up', 'fess up']","['deny', 'expatriate', 'reject', 'disclaim', 'disagreement']"
Conceive,"{'Verb': ['have the idea for', 'judge or regard; look upon; judge', 'become pregnant; undergo conception']}","['design', 'conceptualise', 'discover', 'find', 'preconceive', 'create mentally', 'create by mental act', 'conceptualize', 'gestate']","['disrespect', 'unbelief', 'gladden', 'incognizance', 'lose']"
Condone,"{'Verb': ['excuse, overlook, or make allowances for; be lenient with']}","['forgive', 'excuse']","['blame', 'enforce']"
Conducive,{'Adjective': ['tending to bring about; being partly responsible for']},"['contributory', 'tributary', 'contributive', 'causative', 'contributing']","['noncausative', 'distributary', 'unobligated', 'primary', 'noncausal']"
Conduct,"{'Noun': ['manner of acting or controlling yourself', '(behavioral attributes'], 'Verb': ['direct the course of; manage or control', 'lead, as in the performance of a composition', 'behave in a certain manner', 'take somebody somewhere', 'transmit or serve as the medium for transmission', 'lead musicians in the performance of']}","['manage', 'handle', 'racketeer', 'deal', 'care', 'carry on']","['commonality', 'resoluteness', 'communicativeness', 'unemotionality', 'untrustworthiness']"
Confide,"{'Verb': ['reveal in private; tell confidentially', 'confer a trust upon']}","['swear', 'disclose', 'bring out', 'discover', 'unbosom', 'break', 'trust', 'let on', 'expose', 'unwrap', 'give away', 'rely', 'reveal', 'let out', 'bank', 'divulge', 'relieve']","['distrust', 'mistrust', 'disclaim', 'disbelieve', 'keep quiet']"
Confine,"{'Verb': ['place limits on (extent or amount or access', 'prevent from leaving or from being removed', 'close in', 'deprive of freedom; take into confinement', 'to close within bounds, or otherwise limit or deprive of free movement']}","['stiffen', 'baffle', 'control', 'moderate', 'gate', 'tighten', 'rule', 'strangle', 'limit', 'contain', 'encumber', 'crack down', 'mark out', 'hold', 'restrain', 'check', 'throttle', 'clamp down', 'reduce', 'constrain', 'tighten up', 'trammel', 'inhibit', 'bound', 'rein', 'harness', 'halter', 'regulate', 'draw the line', 'draw a line', 'cumber', 'restrict', 'cramp', 'mark off', 'tie', 'hamper', 'hold in', 'curb']","['loosen', 'stay', 'inactivity', 'derestrict', 'powerlessness']"
Consensus,{'Noun': ['agreement in the judgment or opinion reached by a group as a whole']},"['accord', 'agreement']","['disagreement', 'disenfranchise', 'take']"
Constitute,"{'Verb': ['form or compose', 'create and charge with a task or function', 'to compose or represent', 'set up or lay the groundwork for']}","['compose', 'make up', 'pose', 'range', 'supplement', 'comprise', 'form', 'straddle', 'be', 'fall under', 'make', 'fall into', 'present', 'represent']","['downgrade', 'incapability', 'starve', 'take away', 'detach']"
Contemplate,"{'Verb': ['look at thoughtfully; observe deep in thought', 'consider as a possibility', 'think intently and at length, as for spiritual purposes', 'reflect deeply on a subject']}","['toy with', 'think of', 'flirt with', 'deal', 'think about', 'take', 'consider', 'look at', 'entertain']","['dissociate', 'answer', 'certainty', 'sour', 'forget']"
Contend,"{'Verb': ['maintain or assert', 'have an argument about something', 'to make the subject of dispute, contention, or litigation', 'succeed in doing, achieving, or producing (something', 'compete for something; engage in a contest; measure oneself against others', 'be engaged in a fight; carry on a fight']}","['claim', 'postulate']","['disclaim', 'surrender', 'attack']"
Contradict,"{'Verb': ['be in contradiction with', 'deny the truth of', 'be resistant to', 'prove negative; show to be false']}","['depart', 'belie', 'vary', 'negate', 'deviate', 'diverge']","['conform', 'yield', 'lend oneself', 'obey', 'decriminalize']"
Controversial,{'Adjective': ['marked by or capable of arousing controversy']},"['arguable', 'moot', 'contentious', 'polemical', 'disputed', 'polemic', 'debatable', 'disputable']","['uncontroversial', 'implausible', 'relevant', 'unargumentative', 'unquestionable']"
Conventional,"{'Adjective': ['following accepted customs and proprieties', 'conforming with accepted standards', '(weapons', 'unimaginative and conformist', 'represented in simplified or symbolic form', 'in accord with or being a tradition or practice accepted from the past', 'rigidly formal or bound by convention']}","['stodgy', 'convention', 'customary', 'stuffy', 'received', 'unoriginal', 'formal', 'conventionalism', 'conventionality', 'formulaic']","['informal', 'unconventionality', 'unconventional', 'original', 'fashionable']"
Convey,"{'Verb': ['(of information', 'serve as a means for expressing something', 'transfer to another', 'transmit a title or property', 'transmit or serve as the medium for transmission', 'take something or somebody with oneself somewhere', 'go or come after and bring or take back']}","['conduct', 'express', 'intercommunicate', 'measure', 'carry', 'quantify', 'channel', 'impart', 'transmit', 'communicate']","['charge', 'ionate', 'calcify', 'pack', 'iodinate']"
Conviction,"{'Noun': ['an unshakable belief in something without need for proof or evidence', '(criminal law']}","['strong belief', 'amateurism', 'article of faith', 'belief']","['unbelief', 'final decision', 'content', 'skepticism', 'atheism']"
Corroborate,"{'Verb': ['establish or strengthen as with new evidence or facts', 'give evidence for', 'support with evidence or authority or make more certain or confirm']}","['back', 'affirm', 'verify', 'vouch', 'support', 'sustain', 'substantiate', 'show', 'demonstrate', 'confirm', 'prove', 'shew', 'establish', 'validate', 'document', 'back up']","['negate', 'invalidate', 'disprove', 'disapprove', 'front']"
Counteract,"{'Verb': ['act in opposition to', 'oppose or check by a counteraction', 'oppose and mitigate the effects of by contrary actions', 'destroy property or hinder normal operations']}","['move', 'antagonise', 'act', 'antagonize']","['refrain', 'intemperate', 'immoderate', 'juvenile', 'accelerate']"
Counterargument,{'Noun': ['an argument offered in opposition to another argument']},"['statement', 'argument']","['falsehood', 'overstatement', 'truth']"
Counterproductive,{'Adjective': ['tending to hinder the achievement of a goal']},['harmful'],"['harmless', 'inoffensive']"
Culmination,"{'Noun': ['a final climactic stage', '(astronomy', 'the decisive moment in a novel or play', 'a concluding action']}","['apogee', 'stage', 'phase']","['begin', 'continue', 'refrain', 'imperfection']"
Cultivate,"{'Verb': ['foster the growth of', 'prepare for crops', 'teach or refine to be discriminative in taste or judgment', 'adapt (a wild plant or unclaimed land']}","['grow', 'raise', 'produce', 'farm']","['untie', 'dislodge', 'unbutton', 'unbar', 'unbelt']"
Decree,"{'Noun': ['a legally binding command or decision entered on the court record (as if issued by a court or judge'], 'Verb': ['issue a decree', 'decide with authority']}","['act', 'proscription', 'legal separation', 'stay', 'enactment', 'bull', 'imperial decree', 'curfew', 'judicial separation', 'prohibition', 'papal bull', 'edict', 'programma', 'rescript', 'order', 'fiat', 'consent decree', 'decree nisi', 'ban']","['behave', 'discontinue', 'refrain', 'activity', 'inactivity']"
Deference,"{'Noun': ['a courteous expression (by word or deed', ""courteous regard for people's feelings"", 'a disposition or tendency to yield to the will of others']}","['respect', 'court', 'politeness', 'civility', 'props', 'homage', 'last respects']","['disesteem', 'look down on', 'disrespect', 'reject', 'dishonor']"
Deficient,"{'Adjective': ['inadequate in amount or degree', 'of a quantity not able to fulfill a need or requirement', 'falling short of some prescribed norm']}","['inadequate', 'lacking', 'unequal', 'wanting']","['adequate', 'maximum', 'maximal', 'inadequacy', 'insufficiency']"
Demonstrate,"{'Verb': ['give an exhibition of to an interested audience', 'establish the validity of something, as by an example, explanation or experiment', ""provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes"", 'march in protest; take part in a demonstration']}","['bring home', 'exhibit', 'show', 'present', 'demo']","['disapproval', 'disapprove', 'disagree', 'take', 'inactivity']"
Demur,"{'Noun': [], 'Verb': ['take exception to', 'enter a demurrer']}","['object', 'except']","['prosecution', 'approve', 'include']"
Deplete,{'Verb': ['use up (resources or materials']},"['consume', 'eat up', 'take', 'run down', 'burn off', 'expend', 'use up', 'eat', 'run through', 'wipe out', 'tire', 'drain', 'sap', 'burn up', 'spend', 'exhaust', 'indulge', 'luxuriate', 'burn', 'run out', 'occupy', 'drop', 'play out']","['abstain', 'underspend', 'fuse', 'saddle', 'lodge']"
Desolate,"{'Verb': ['leave someone who needs or counts on you; leave in the lurch', 'reduce in population', 'cause extensive destruction or ruin utterly'], 'Adjective': ['providing no shelter or sustenance', 'crushed by grief']}","['bare', 'barren', 'stark', 'inhospitable', 'bleak']","['hospitable', 'hide', 'close', 'underexpose', 'overexpose']"
Devise,"{'Noun': ['a will disposing of real property'], 'Verb': ['come up with (an idea, plan, explanation, theory, or principle', 'arrange by systematic planning and united effort', 'give by will, especially real property']}","['invent', 'formulate', 'contrive', 'forge', 'excogitate', 'create mentally', 'create by mental act']","['natural depression', 'stand still', 'hop out', 'decrease', 'wane']"
Dilemma,{'Noun': ['state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options']},"['double bind', 'quandary', 'perplexity']",
Diligence,"{'Noun': ['conscientiousness in paying proper attention to a task; giving the degree of care required in a given situation', 'persevering determination to perform a task', 'a diligent effort']}","['conscientiousness', 'painstakingness']","['unconscientiousness', 'dilution', 'nonfunctional']"
Diminish,"{'Verb': ['decrease in size, extent, or range', 'lessen the authority, dignity, or reputation of']}","['devalue', 'decrease', 'abate', 'drop off', 'break', 'shorten', 'go down', 'contract', 'wither', 'decline', 'fall', 'shrivel', 'dwindle away', 'let up', 'deflate', 'vanish', 'slack off', 'slack', 'depreciate', 'reduce', 'slow up', 'remit', 'concentrate', 'dwindle down', 'decrescendo', 'shrivel up', 'slow down', 'devaluate', 'slacken off', 'retard', 'die away', 'ease up', 'ease off', 'decoct', 'flag', 'lessen', 'undervalue', 'change magnitude', 'thin out', 'vaporize', 'weaken', 'slow', 'wane', 'de-escalate', 'dwindle', 'shrink', 'boil down', 'decelerate', 'fly', 'taper']","['crescendo', 'expand', 'inflate', 'lengthen', 'accelerate', 'strengthen', 'increase', 'stretch', 'appreciate']"
Dire,"{'Adjective': ['fraught with extreme danger; nearly hopeless', 'causing fear or dread or terror']}","['desperate', 'critical']","['noncritical', 'nice', 'pleasant']"
Discord,"{'Noun': ['lack of agreement or harmony', 'disagreement among those expected to cooperate', 'a harsh mixture of sounds', 'strife resulting from a lack of agreement'], 'Verb': ['be different from one another']}","['discordance', 'dissonance']","['harmony', 'end', 'misconception']"
Disdain,"{'Noun': ['lack of respect accompanied by a feeling of intense dislike', 'a communication that indicates lack of respect by patronizing the recipient'], 'Verb': ['look down on with disdain', 'reject with contempt']}","['hate', 'look down on', 'despise', 'contemn', 'detest', 'scorn']","['love', 'admire', 'please', 'attract', 'pull']"
Dismay,"{'Noun': ['the feeling of despair in the face of obstacles', 'fear resulting from the awareness of danger'], 'Verb': [""lower someone's spirits; make downhearted"", 'fill with apprehension or alarm; cause to be unpleasantly surprised']}","['disheartenment', 'discouragement', 'intimidation', 'despair']","['hope', 'unafraid', 'raise', 'strengthen', 'heat']"
